demographic,Q1
belief,Q10
belief,Q10.1
belief,Q10.2
belief,Q10.3
belief,Q10.4
belief,Q12
belief,Q13
demographic,Q14
practice,Q15
practice,Q15.1
practice,Q15.2
practice,Q15.3
practice,Q15.4
practice,Q15.5
practice,Q15.6
practice,Q15.7
practice,Q16
practice,Q17
practice,Q18
practice,Q20
practice,Q21
practice,Q22
practice,Q23
education,Q24
education,Q24.1
education,Q24.2
education,Q24.3
education,Q24.4
education,Q24.5
education,Q24.6
education,Q25
education,Q25.1
education,Q25.2
education,Q25.3
education,Q25.4
education,Q25.5
education,Q25.6
education,Q25.7
education,Q25.8
education,Q26
education,Q27
education,Q27.1
education,Q27.2
education,Q27.3
education,Q27.4
education,Q27.5
education,Q27.6
knowledge,Q28
education,Q29
demographic,Q3
medicine,Q30
education,Q31
education,Q31.1
education,Q31.2
education,Q31.3
education,Q31.4
education,Q31.5
education,Q32
education,Q33
education,Q34
education,Q34.1
education,Q34.2
education,Q34.3
education,Q34.4
education,Q35
education,Q35.1
education,Q35.2
education,Q35.3
education,Q35.4
education,Q35.5
education,Q35.6
education,Q35.7
knowledge,Q36
knowledge,Q37
knowledge,Q38
knowledge,Q39
belief,Q4
belief,Q4.1
belief,Q4.2
belief,Q4.3
belief,Q4.4
belief,Q4.5
knowledge,Q40
medicine,Q41
medicine,Q41.1
medicine,Q41.2
medicine,Q41.3
medicine,Q41.4
medicine,Q41.5
medicine,Q42
medicine,Q42.1
medicine,Q42.2
medicine,Q42.3
medicine,Q42.4
medicine,Q42.5
medicine,Q43
medicine,Q43.1
medicine,Q43.2
medicine,Q43.3
medicine,Q43.4
medicine,Q43.5
medicine,Q43.6
medicine,Q44
medicine,Q45
medicine,Q46
medicine,Q47
medicine,Q48
demographic,Q5
demographic,Q6
belief,Q7
belief,Q7.1
belief,Q7.2
belief,Q7.3
belief,Q7.4
belief,Q7.5
belief,Q7.6
belief,Q8
belief,Q9
medicine,Q50
